customer_id,order_date,previous_order_date,days_gap,average_gap,customer_risk
C0408,2026-02-06,2024-10-30,464.0,464.0,At Risk
C0409,2024-08-19,,,264.0,At Risk
C0409,2025-05-10,2024-08-19,264.0,264.0,At Risk
C0411,2025-09-28,,,273.0,At Risk
C0411,2026-06-28,2025-09-28,273.0,273.0,At Risk
C0414,2025-11-12,,,182.0,At Risk
C0414,2026-05-13,2025-11-12,182.0,182.0,At Risk
C0416,2025-05-16,,,,Active
C0417,2026-04-05,,,,Active
C0418,2024-08-12,,,,Active
C0419,2025-01-31,,,242.0,At Risk
C0419,2025-09-30,2025-01-31,242.0,242.0,At Risk
C0420,2024-10-23,,,192.0,At Risk
C0420,2025-05-03,2024-10-23,192.0,192.0,At Risk
C0424,2024-08-25,,,,Active
C0425,2024-07-25,,,582.0,At Risk
C0425,2026-02-27,2024-07-25,582.0,582.0,At Risk
C0430,2024-12-09,,,,Active
C0431,2025-10-10,,,,Active
C0432,2025-08-19,,,,Active
C0433,2024-12-26,,,247.0,At Risk
C0433,2025-08-30,2024-12-26,247.0,247.0,At Risk
C0434,2025-03-12,,,,Active
C0435,2026-03-21,,,,Active
C0437,2024-10-08,,,309.5,At Risk
C0437,2025-05-10,2024-10-08,214.0,309.5,At Risk
C0437,2026-06-19,2025-05-10,405.0,309.5,At Risk
C0438,2024-08-05,,,,Active
C0439,2025-12-29,,,,Active
C0440,2026-01-15,,,33.0,At Risk
C0440,2026-02-17,2026-01-15,33.0,33.0,At Risk
C0441,2025-10-16,,,,Active
C0442,2026-01-16,,,51.0,At Risk
C0442,2026-03-08,2026-01-16,51.0,51.0,At Risk
C0444,2024-09-16,,,343.0,At Risk
C0444,2025-08-25,2024-09-16,343.0,343.0,At Risk
C0445,2025-04-04,,,,Active
C0446,2026-01-17,,,,Active
C0447,2025-01-20,,,132.0,At Risk
C0447,2025-06-01,2025-01-20,132.0,132.0,At Risk
C0448,2024-11-26,,,584.0,At Risk
C0448,2026-07-03,2024-11-26,584.0,584.0,At Risk
C0450,2025-03-13,,,233.0,At Risk
C0450,2025-11-04,2025-03-13,236.0,233.0,At Risk
C0450,2026-06-22,2025-11-04,230.0,233.0,At Risk
C0452,2026-02-07,,,14.0,Active
C0452,2026-02-21,2026-02-07,14.0,14.0,Active
C0453,2024-08-02,,,564.0,At Risk
C0453,2026-02-17,2024-08-02,564.0,564.0,At Risk
C0456,2024-12-24,,,145.0,At Risk
C0456,2025-05-18,2024-12-24,145.0,145.0,At Risk
C0457,2025-06-24,,,,Active
C0458,2026-04-19,,,,Active
C0459,2025-12-01,,,,Active
C0460,2025-01-12,,,205.0,At Risk
C0460,2025-08-05,2025-01-12,205.0,205.0,At Risk
C0462,2025-09-17,,,,Active
C0463,2024-12-05,,,,Active
C0464,2026-05-23,,,,Active
C0465,2026-06-18,,,,Active
C0466,2025-08-19,,,,Active
C0467,2024-09-17,,,,Active
C0469,2025-06-30,,,,Active
C0470,2024-09-29,,,,Active
C0471,2026-04-07,,,,Active
C0473,2026-05-18,,,,Active
C0475,2025-09-26,,,,Active
C0476,2025-06-23,,,,Active
C0481,2025-01-08,,,203.0,At Risk
C0481,2025-07-19,2025-01-08,192.0,203.0,At Risk
C0481,2026-02-18,2025-07-19,214.0,203.0,At Risk
C0482,2025-11-27,,,,Active
C0485,2026-06-22,,,,Active
C0486,2025-02-27,,,,Active
C0490,2025-04-02,,,393.0,At Risk
C0490,2026-04-30,2025-04-02,393.0,393.0,At Risk
C0492,2024-12-13,,,225.5,At Risk
C0492,2025-06-26,2024-12-13,195.0,225.5,At Risk
C0492,2026-03-09,2025-06-26,256.0,225.5,At Risk
C0493,2026-06-20,,,,Active
C0494,2025-04-27,,,363.0,At Risk
C0494,2026-04-25,2025-04-27,363.0,363.0,At Risk
C0495,2025-08-03,,,,Active
C0497,2024-09-20,,,314.5,At Risk
C0497,2026-02-20,2024-09-20,518.0,314.5,At Risk
C0497,2026-06-11,2026-02-20,111.0,314.5,At Risk
C0498,2024-07-17,,,291.0,At Risk
C0498,2025-05-04,2024-07-17,291.0,291.0,At Risk
C0499,2025-10-29,,,,Active
C0500,2025-12-19,,,,Active
