category,product_id,product_name,total_revenue,rank_in_category
Home,P0474,Ikea Curtain,127406.77,28
Home,P0484,Godrej Lamp,120286.51,29
Home,P0415,Milton Curtain,115843.9,30
Home,P0444,Milton Chair,114527.27,31
Home,P0353,Prestige Table,112113.16,32
Home,P0150,Ikea Fan,105991.7,33
Home,P0228,Prestige Sofa,105950.22,34
Home,P0437,Milton Table,104141.23,35
Home,P0120,Prestige Chair,100702.69,36
Home,P0166,Milton Chair,95395.68,37
Home,P0231,Prestige Table,95064.17,38
Home,P0336,Ikea Table,94207.33,39
Home,P0407,Cello Table,94179.04,40
Home,P0492,Ikea Table,90730.17,41
Home,P0156,Prestige Curtain,90697.11,42
Home,P0024,Cello Curtain,87259.45,43
Home,P0194,Prestige Fan,86439.79,44
Home,P0158,Godrej Table,83320.19,45
Home,P0125,Prestige Sofa,76888.09,46
Home,P0164,Godrej Fan,71717.66,47
Home,P0446,Godrej Lamp,66214.52,48
Home,P0360,Godrej Lamp,63838.25,49
Home,P0316,Prestige Curtain,61289.24,50
Home,P0179,Godrej Table,60604.1,51
Home,P0348,Milton Lamp,58413.07,52
Home,P0085,Ikea Table,58003.37,53
Home,P0293,Prestige Table,54713.18,54
Home,P0470,Prestige Sofa,49434.15,55
Home,P0458,Godrej Sofa,49061.66,56
Home,P0459,Milton Lamp,44541.34,57
Home,P0262,Ikea Lamp,43981.55,58
Home,P0362,Milton Chair,42814.18,59
Home,P0065,Prestige Sofa,42135.4,60
Home,P0207,Prestige Lamp,38264.8,61
Home,P0167,Cello Curtain,37966.47,62
Home,P0094,Ikea Fan,35931.83,63
Home,P0339,Ikea Table,35300.74,64
Home,P0191,Cello Lamp,31111.27,65
Home,P0240,Ikea Curtain,28447.98,66
Home,P0291,Godrej Table,26241.99,67
Home,P0367,Milton Curtain,26167.46,68
Home,P0499,Prestige Table,23715.53,69
Home,P0352,Godrej Curtain,20006.65,70
Home,P0402,Cello Table,18244.74,71
Home,P0175,Cello Sofa,16515.0,72
Home,P0278,Milton Curtain,16267.55,73
Home,P0189,Prestige Curtain,14613.67,74
Home,P0203,Cello Chair,14054.01,75
Home,P0117,Milton Lamp,11862.26,76
Home,P0023,Milton Chair,9274.15,77
Home,P0482,Cello Fan,8405.15,78
Home,P0378,Godrej Chair,8346.93,79
Home,P0453,Milton Curtain,8284.31,80
Home,P0064,Prestige Fan,7080.66,81
Home,P0311,Godrej Lamp,6968.54,82
Home,P0238,Godrej Curtain,4194.98,83
Home,P0275,Milton Curtain,4029.34,84
Home,P0392,Prestige Table,3529.08,85
Home,P0455,Prestige Sofa,3297.36,86
Home,P0343,Prestige Chair,3269.59,87
Home,P0213,Godrej Lamp,2254.62,88
Home,P0171,Ikea Sofa,2089.27,89
Home,P0108,Cello Sofa,1793.41,90
Home,P0148,Ikea Fan,786.18,91
Home,P0268,Milton Fan,245.96,92
Home,P0280,Prestige Fan,-136598.53,93
