region_code,order_date,daily_revenue,running_total
East,2026-02-03,331657.8,6567736.71
East,2026-02-21,186477.77,6754214.48
East,2026-02-25,271909.46,7026123.94
East,2026-02-27,406783.23,7432907.17
East,2026-03-11,243155.3,7676062.47
East,2026-03-23,341.82,7676404.29
East,2026-04-05,225483.48,7901887.77
East,2026-04-06,2624.97,7904512.74
East,2026-04-11,71419.21,7975931.95
East,2026-04-19,106647.34,8082579.29
East,2026-04-22,160460.72,8243040.01
East,2026-05-30,343530.22,8586570.23
East,2026-06-18,82981.53,8669551.76
East,2026-06-22,7086.45,8676638.21
East,2026-07-03,177984.01,8854622.22
North,2024-07-20,42309.75,42309.75
North,2024-08-01,255849.59,298159.34
North,2024-08-05,23898.58,322057.92
North,2024-08-14,17638.95,339696.87
North,2024-08-20,50174.77,389871.64
North,2024-08-23,188110.49,577982.13
North,2024-09-07,42151.28,620133.41
North,2024-09-10,11779.31,631912.72
North,2024-10-23,227193.37,859106.09
North,2024-11-04,79968.69,939074.78
North,2024-11-10,220021.51,1159096.29
North,2024-11-23,106852.16,1265948.45
North,2024-11-29,17036.32,1282984.77
North,2024-12-08,56423.44,1339408.21
North,2024-12-12,144523.89,1483932.1
North,2024-12-15,294675.72,1778607.82
North,2024-12-21,132876.56,1911484.38
North,2024-12-28,199763.58,2111247.96
North,2025-01-12,31717.02,2142964.98
North,2025-02-25,61847.52,2204812.5
North,2025-03-03,130859.7,2335672.2
North,2025-03-11,11088.05,2346760.25
North,2025-03-26,73821.19,2420581.44
North,2025-03-27,274875.17,2695456.61
North,2025-04-03,199652.2,2895108.81
North,2025-04-27,0.0,2895108.81
North,2025-05-01,74972.23,2970081.04
North,2025-05-10,115968.81,3086049.85
North,2025-05-24,36469.61,3122519.46
North,2025-05-28,58065.39,3180584.85
North,2025-05-29,133005.61,3313590.46
North,2025-06-01,218005.7,3531596.16
North,2025-06-10,142071.74,3673667.9
North,2025-06-24,388652.14,4062320.04
North,2025-07-01,18694.18,4081014.22
North,2025-07-06,339766.27,4420780.49
North,2025-07-10,37424.72,4458205.21
North,2025-07-12,148485.27,4606690.48
North,2025-07-29,498969.3,5105659.78
North,2025-08-05,303557.91,5409217.69
North,2025-08-12,282547.42,5691765.11
North,2025-08-23,631050.23,6322815.34
North,2025-08-27,3765.58,6326580.92
North,2025-09-26,43563.51,6370144.43
North,2025-10-15,91796.56,6461940.99
North,2025-10-24,27329.07,6489270.06
North,2025-10-26,-55593.57,6433676.49
North,2025-10-27,87348.43,6521024.92
North,2025-10-29,206630.68,6727655.6
North,2025-11-15,408402.92,7136058.52
North,2025-11-26,48715.62,7184774.14
North,2025-12-04,170003.76,7354777.9
North,2025-12-25,134599.84,7489377.74
North,2026-01-24,105514.23,7594891.97
North,2026-02-05,382174.71,7977066.68
North,2026-02-06,457412.59,8434479.27
North,2026-02-14,110857.82,8545337.09
North,2026-02-15,4457.14,8549794.23
North,2026-02-18,43655.52,8593449.75
North,2026-02-22,106454.38,8699904.13
North,2026-02-25,30504.01,8730408.14
North,2026-02-26,82760.99,8813169.13
North,2026-03-08,99203.05,8912372.18
North,2026-03-12,174527.5,9086899.68
North,2026-03-15,234903.65,9321803.33
North,2026-03-29,66766.58,9388569.91
North,2026-04-14,178480.61,9567050.52
North,2026-04-16,197138.98,9764189.5
North,2026-04-26,138031.62,9902221.12
North,2026-05-03,266254.0,10168475.12
North,2026-05-16,58434.85,10226909.97
North,2026-05-31,15172.64,10242082.61
North,2026-06-19,58506.75,10300589.36
South,2024-07-23,43891.78,43891.78
South,2024-07-27,240837.56,284729.34
South,2024-07-30,165275.43,450004.77
South,2024-08-02,7430.46,457435.23
South,2024-08-11,49126.82,506562.05
South,2024-08-12,117578.97,624141.02
South,2024-08-15,15397.8,639538.82
South,2024-08-18,15314.55,654853.37
South,2024-09-19,-69697.65,585155.72
South,2024-10-08,9211.37,594367.09
South,2024-10-13,41834.65,636201.74
South,2024-10-22,4377.45,640579.19
South,2024-11-06,19782.59,660361.78
South,2024-11-23,151884.32,812246.1
South,2024-12-15,30636.79,842882.89
South,2024-12-19,70622.59,913505.48
South,2024-12-24,18259.25,931764.73
South,2024-12-25,23164.22,954928.95
South,2025-01-03,215815.19,1170744.14
South,2025-01-08,24461.29,1195205.43
South,2025-01-10,2630.11,1197835.54
South,2025-01-13,372229.88,1570065.42
South,2025-02-08,134717.97,1704783.39
South,2025-02-10,15332.82,1720116.21
South,2025-03-13,85121.39,1805237.6
South,2025-03-17,10533.89,1815771.49
South,2025-03-20,41972.78,1857744.27
South,2025-04-05,83776.48,1941520.75
South,2025-04-14,96125.05,2037645.8
South,2025-04-29,116540.09,2154185.89
South,2025-05-16,502947.8,2657133.69
South,2025-05-18,204595.69,2861729.38
South,2025-05-21,110259.67,2971989.05
South,2025-06-04,123682.71,3095671.76
South,2025-06-06,-17827.01,3077844.75
South,2025-06-11,172037.51,3249882.26
South,2025-06-17,63549.24,3313431.5
South,2025-06-26,330264.7,3643696.2
South,2025-07-08,40207.5,3683903.7
South,2025-07-13,2610.95,3686514.65
South,2025-08-07,107366.2,3793880.85
South,2025-08-09,59680.79,3853561.64
South,2025-08-17,133821.57,3987383.21
South,2025-08-25,211801.35,4199184.56
South,2025-09-13,103260.82,4302445.38
South,2025-09-19,208923.93,4511369.31
South,2025-09-28,55768.37,4567137.68
South,2025-09-30,254144.69,4821282.37
South,2025-10-02,81857.74,4903140.11
South,2025-10-17,49855.56,4952995.67
South,2025-10-29,10027.76,4963023.43
South,2025-10-30,12211.16,4975234.59
South,2025-11-02,94041.16,5069275.75
South,2025-11-12,17984.35,5087260.1
South,2025-11-27,248614.12,5335874.22
South,2025-12-14,23276.82,5359151.04
South,2025-12-15,59787.59,5418938.63
South,2025-12-25,48283.63,5467222.26
South,2026-01-08,83393.15,5550615.41
South,2026-01-16,142715.25,5693330.66
South,2026-02-08,145743.21,5839073.87
South,2026-02-11,30365.12,5869438.99
South,2026-02-27,-25722.88,5843716.11
South,2026-02-28,147156.1,5990872.21
South,2026-03-09,280869.59,6271741.8
South,2026-03-19,1253.52,6272995.32
South,2026-03-25,199129.88,6472125.2
South,2026-04-01,209375.06,6681500.26
South,2026-04-02,157460.65,6838960.91
South,2026-04-12,70596.87,6909557.78
South,2026-04-17,215520.38,7125078.16
South,2026-04-22,119210.05,7244288.21
South,2026-04-28,57316.71,7301604.92
South,2026-05-16,26238.56,7327843.48
South,2026-05-18,269971.26,7597814.74
South,2026-05-31,236821.19,7834635.93
South,2026-06-17,120142.33,7954778.26
South,2026-06-19,233402.52,8188180.78
West,2024-07-17,52524.99,52524.99
West,2024-07-19,25946.41,78471.4
West,2024-07-25,204219.64,282691.04
West,2024-07-26,395865.56,678556.6
West,2024-08-03,100043.82,778600.42
West,2024-08-17,293033.32,1071633.74
West,2024-08-19,55128.19,1126761.93
West,2024-08-24,164702.39,1291464.32
West,2024-08-27,386703.61,1678167.93
West,2024-09-02,446776.44,2124944.37
West,2024-09-04,87141.13,2212085.5
West,2024-09-06,283528.34,2495613.84
West,2024-09-08,22955.77,2518569.61
West,2024-09-16,47134.61,2565704.22
West,2024-09-18,112486.66,2678190.88
West,2024-09-20,257604.37,2935795.25
West,2024-10-18,99501.3,3035296.55
West,2024-10-30,58041.91,3093338.46
West,2024-12-07,53983.11,3147321.57
West,2024-12-13,241205.28,3388526.85
West,2024-12-19,70330.73,3458857.58
West,2024-12-24,81135.98,3539993.56
West,2024-12-26,487050.48,4027044.04
West,2025-01-08,4349.18,4031393.22
West,2025-01-16,239143.36,4270536.58
West,2025-01-17,33683.0,4304219.58
West,2025-01-25,165612.82,4469832.4
West,2025-02-14,53095.65,4522928.05
West,2025-02-28,188136.64,4711064.69
West,2025-03-10,46130.34,4757195.03
West,2025-03-18,22256.51,4779451.54
West,2025-04-13,166545.58,4945997.12
West,2025-05-04,24097.0,4970094.12
West,2025-05-21,6420.83,4976514.95
West,2025-05-24,77725.53,5054240.48
West,2025-05-28,24036.52,5078277.0
West,2025-05-29,47457.38,5125734.38
West,2025-06-02,150102.72,5275837.1
West,2025-06-23,136021.84,5411858.94
West,2025-06-29,172706.87,5584565.81
West,2025-06-30,139067.68,5723633.49
West,2025-07-19,233426.74,5957060.23
West,2025-08-16,71916.85,6028977.08
West,2025-08-20,472108.16,6501085.24
West,2025-08-23,177678.26,6678763.5
West,2025-08-31,291794.27,6970557.77
West,2025-10-10,60604.1,7031161.87
West,2025-10-16,51612.3,7082774.17
West,2025-10-17,27851.27,7110625.44
West,2025-11-04,96724.41,7207349.85
West,2025-11-12,120075.61,7327425.46
West,2025-11-18,2369.06,7329794.52
West,2025-11-28,77423.66,7407218.18
West,2025-11-30,263145.82,7670364.0
West,2025-12-01,48745.76,7719109.76
West,2025-12-04,52116.43,7771226.19
West,2025-12-08,72936.14,7844162.33
West,2025-12-09,129930.33,7974092.66
West,2025-12-14,75781.25,8049873.91
West,2025-12-26,107796.33,8157670.24
West,2025-12-29,106516.72,8264186.96
West,2026-01-15,21034.42,8285221.38
West,2026-01-18,3468.43,8288689.81
West,2026-01-31,92780.62,8381470.43
West,2026-02-17,83267.11,8464737.54
West,2026-02-20,9673.57,8474411.11
West,2026-03-02,20283.91,8494695.02
West,2026-03-16,88824.5,8583519.52
West,2026-03-23,7632.15,8591151.67
West,2026-04-14,61712.31,8652863.98
West,2026-04-15,-48019.7,8604844.28
West,2026-04-19,39180.32,8644024.6
West,2026-04-25,104525.07,8748549.67
West,2026-04-26,93534.74,8842084.41
West,2026-04-30,96759.45,8938843.86
West,2026-05-16,92985.98,9031829.84
West,2026-05-20,170987.55,9202817.39
West,2026-05-23,120267.73,9323085.12
West,2026-06-02,17812.19,9340897.31
West,2026-06-28,154341.83,9495239.14
West,2026-07-03,16753.3,9511992.44
West,2026-07-06,17771.94,9529764.38
West,2026-07-11,333212.54,9862976.92
West,2026-07-12,109759.17,9972736.09
