item_id,order_id,product_id,quantity,unit_price,discount_percent
I0056,O0348,P0087,3,51187.48,91
I0057,O0030,P0153,3,48558.07,41
I0058,O0133,P0193,1,34376.39,30
I0059,O0386,P0306,4,43197.27,64
I0060,O0198,P0487,1,9998.1,70
I0061,O0209,P0034,4,52869.85,2
I0062,O0138,P0284,1,33020.64,71
I0063,O0334,P0403,5,27893.42,10
I0064,O0434,P0326,2,39910.48,21
I0065,O0401,P0126,4,39947.81,71
I0066,O0232,P0022,-2,54017.53,79
I0067,O0149,P0335,1,55546.11,61
I0068,O0140,P0307,4,11936.75,80
I0069,O0109,P0300,3,41296.51,94
I0070,O0274,P0289,1,24153.68,15
I0071,O0426,P0072,3,43417.72,26
I0072,O0313,P0259,3,9352.05,43
I0073,O0326,P0134,4,31572.87,84
I0074,O0165,P0175,5,6470.08,88
I0075,O0069,P0331,5,38108.34,1
I0076,O0345,P0089,4,24140.64,68
I0077,O0042,P0404,1,44631.77,85
I0078,O0228,P0345,4,16420.67,45
I0079,O0199,P0091,1,56477.37,47
I0080,O0480,P0099,2,14046.42,97
I0081,O0144,P0349,3,50099.4,78
I0082,O0321,P0156,2,24621.07,63
I0083,O0496,P0186,4,14720.39,90
I0084,O0311,P0108,-3,11729.34,35
I0085,O0292,P0257,5,38783.36,94
I0086,O0290,P0345,5,13428.26,75
I0087,O0066,P0382,3,36187.21,29
I0088,O0452,P0268,3,585.62,86
I0089,O0012,P0497,5,36350.09,87
I0090,O0287,P0453,4,12182.81,83
I0091,O0027,P0438,4,5486.4,52
I0092,O0141,P0063,4,52431.26,66
I0093,O0389,P0023,2,2777.61,53
I0094,O0273,P0230,4,46883.26,10
I0095,O0451,P0293,2,59470.85,54
I0096,O0491,P0039,2,9810.81,39
I0097,O0033,P0321,1,27936.66,3
I0098,O0304,P0409,3,46247.94,31
I0099,O0056,P0243,3,10967.62,42
I0100,O0267,P0407,1,35719.82,79
I0101,O0225,P0392,4,980.3,10
I0102,O0499,P0032,4,48493.37,88
I0103,O0034,P0401,4,31963.69,78
I0104,O0321,P0222,1,9329.22,37
I0105,O0436,P0196,5,29216.42,29
I0106,O0443,P0307,5,8789.15,49
I0107,O0238,P0408,5,21697.35,43
I0108,O0334,P0481,1,11246.45,42
I0109,O0301,P0099,1,13451.42,8
I0110,O0304,P0405,5,40331.56,65
I0111,O0132,P0182,5,21140.91,31
I0112,O0071,P0409,2,39436.14,55
I0113,O0263,P0492,3,48674.53,69
I0114,O0398,P0075,3,30277.45,37
I0115,O0189,P0497,-3,36817.04,18
I0116,O0030,P0122,5,50592.86,54
I0117,O0177,P0101,2,12494.65,43
I0118,O0097,P0342,4,45653.99,42
I0119,O0437,P0297,3,39371.36,53
I0120,O0169,P0084,1,34094.2,0
I0121,O0328,P0115,4,54144.06,30
I0122,O0247,P0377,3,68683.6,48
I0123,O0106,P0205,1,28552.96,9
I0124,O0184,P0016,2,16677.31,24
I0125,O0324,P0300,3,41273.17,3
I0126,O0102,P0102,2,54494.76,92
I0127,O0090,P0174,2,5219.98,2
I0128,O0091,P0432,1,8209.66,86
I0129,O0071,P0195,1,42014.14,26
I0130,O0157,P0234,3,29261.76,67
I0131,O0410,P0320,1,56112.63,16
I0132,O0407,P0098,4,53127.41,40
I0133,O0307,P0220,2,63323.16,97
I0134,O0316,P0301,5,34367.56,19
I0135,O0168,P0127,3,70901.65,65
I0136,O0496,P0300,2,51368.66,100
I0137,O0241,P0405,1,40912.86,49
I0138,O0385,P0452,5,9713.16,66
I0139,O0238,P0092,3,22935.25,61
I0140,O0367,P0490,3,39984.82,81
I0141,O0472,P0405,1,41470.53,25
I0142,O0232,P0442,2,32170.15,48
I0143,O0293,P0081,3,33878.98,10
I0144,O0069,P0385,4,16819.89,29
I0145,O0299,P0022,5,44924.05,57
I0146,O0240,P0222,4,8646.32,48
I0147,O0013,P0092,3,23774.65,45
I0148,O0462,P0043,5,61964.85,82
I0149,O0041,P0403,2,25168.92,9
I0150,O0185,P0020,3,48920.34,42
I0151,O0129,P0155,3,22022.72,77
I0152,O0071,P0438,5,5590.26,1
I0153,O0395,P0154,3,44619.18,51
I0154,O0485,P0208,1,38083.31,65
I0155,O0390,P0488,4,35323.79,92
I0156,O0384,P0108,5,12441.12,70
I0157,O0388,P0240,4,5634.42,10
I0158,O0161,P0434,4,30300.25,57
I0159,O0437,P0286,2,41995.62,16
I0160,O0157,P0483,4,24662.34,45
I0161,O0174,P0116,4,5880.96,88
I0162,O0276,P0154,1,41897.04,4
I0163,O0473,P0072,3,39707.05,77
I0164,O0468,P0312,4,10620.7,26
I0165,O0486,P0201,4,56330.63,13
I0166,O0169,P0292,3,5092.03,13
I0167,O0346,P0284,5,35690.85,23
I0168,O0102,P0036,4,30248.88,29
I0169,O0150,P0338,4,23624.98,66
I0170,O0006,P0088,4,30117.81,14
I0171,O0067,P0275,1,5445.06,26
I0172,O0067,P0446,4,31881.01,85
I0173,O0244,P0082,3,65410.72,64
I0174,O0367,P0351,2,45434.9,18
I0175,O0229,P0033,5,38702.37,67
I0176,O0169,P0467,4,9893.22,73
I0177,O0021,P0378,4,23185.93,91
I0178,O0406,P0153,2,53134.3,22
I0179,O0461,P0317,4,30126.02,84
I0180,O0094,P0358,4,58756.84,5
I0181,O0123,P0454,3,66197.13,68
I0182,O0150,P0342,2,49865.01,52
I0183,O0391,P0284,3,31149.57,13
I0184,O0259,P0393,4,49932.5,32
I0185,O0107,P0260,1,24305.79,88
I0186,O0346,P0384,3,11931.48,24
I0187,O0204,P0020,-1,57428.11,17
I0188,O0168,P0344,4,51000.51,10
I0189,O0281,P0337,4,49533.84,35
I0190,O0431,P0083,1,64933.33,22
I0191,O0151,P0064,4,9325.29,85
I0192,O0391,P0006,2,11607.77,22
I0193,O0111,P0366,5,37909.8,89
I0194,O0025,P0429,5,39582.65,91
I0195,O0338,P0460,3,2790.88,76
I0196,O0003,P0025,2,45292.17,47
I0197,O0466,P0123,1,11520.91,1
I0198,O0173,P0421,1,376.01,12
I0199,O0409,P0428,2,48283.44,5
I0200,O0213,P0263,3,876.54,80
I0201,O0098,P0320,5,61522.82,54
I0202,O0062,P0119,3,55264.78,1
I0203,O0206,P0335,4,58562.27,28
I0204,O0034,P0337,5,53453.76,8
I0205,O0454,P0112,5,57714.15,13
I0206,O0365,P0275,5,5067.71,12
I0207,O0308,P0167,4,50751.14,98
I0208,O0356,P0069,3,53809.23,85
I0209,O0247,P0035,5,29386.31,57
I0210,O0196,P0262,2,50348.77,90
I0211,O0007,P0120,-1,28012.01,94
I0212,O0220,P0388,1,15254.35,47
I0213,O0256,P0152,4,42594.73,4
I0214,O0122,P0473,4,37989.79,42
I0215,O0069,P0143,1,56895.85,53
I0216,O0332,P0417,1,2841.18,93
I0217,O0170,P0176,5,802.86,85
I0218,O0128,P0411,2,33471.74,48
I0219,O0267,P0165,1,33092.13,62
I0220,O0036,P0489,2,10959.44,16
I0221,O0047,P0089,2,20524.46,10
I0222,O0219,P0372,2,9657.54,31
I0223,O0218,P0091,3,59632.29,57
I0224,O0496,P0326,4,36162.75,46
I0225,O0204,P0194,4,14185.57,78
I0226,O0377,P0222,4,7808.45,48
I0227,O0219,P0438,3,5106.09,19
I0228,O0284,P0373,4,63416.65,58
I0229,O0146,P0193,4,34622.52,17
I0230,O0367,P0241,2,7648.63,64
I0231,O0374,P0372,4,10225.08,50
I0232,O0497,P0381,4,17872.67,75
I0233,O0037,P0210,1,36091.65,72
I0234,O0084,P0100,3,6428.56,96
I0235,O0370,P0179,4,28586.84,47
I0236,O0357,P0030,4,23693.47,31
I0237,O0245,P0018,3,16046.45,86
I0238,O0015,P0358,2,51306.03,58
I0239,O0484,P0349,2,57093.32,84
I0240,O0431,P0083,-1,65656.92,49
I0241,O0204,P0362,1,56334.45,24
I0242,O0449,P0217,4,34447.05,38
I0243,O0257,P0496,4,33649.21,93
I0244,O0211,P0386,1,23900.21,73
I0245,O0398,P0409,2,38886.84,26
I0246,O0477,P0384,3,9407.49,21
I0247,O0418,P0252,-1,2942.13,53
I0248,O0269,P0214,4,23967.66,47
I0249,O0096,P0361,4,40170.79,14
I0250,O0231,P0291,2,14594.95,95
I0251,O0094,P0415,3,56725.97,52
I0252,O0226,P0321,1,31295.98,21
I0253,O0041,P0151,1,49756.87,43
I0254,O0016,P0300,4,50563.64,12
I0255,O0005,P0032,1,54066.4,5
I0256,O0050,P0109,1,14818.79,66
I0257,O0493,P0390,4,50179.47,43
I0258,O0310,P0220,3,64676.07,30
I0259,O0482,P0185,4,21995.45,45
I0260,O0448,P0170,1,35528.28,89
I0261,O0206,P0372,2,7721.42,15
I0262,O0445,P0272,2,45389.41,79
I0263,O0352,P0338,5,26618.0,24
I0264,O0002,P0327,3,26117.13,46
I0265,O0448,P0024,3,40966.88,29
I0266,O0311,P0249,5,45278.08,44
I0267,O0220,P0481,4,13116.58,89
I0268,O0464,P0052,3,5911.51,91
I0269,O0074,P0446,5,31585.83,91
I0270,O0259,P0017,1,54000.36,86
I0271,O0281,P0448,4,60945.48,61
I0272,O0340,P0277,2,54097.51,84
I0273,O0359,P0046,1,53182.54,41
I0274,O0463,P0197,2,31668.16,85
I0275,O0244,P0488,1,40518.68,68
I0276,O0325,P0372,3,10075.56,73
I0277,O0393,P0474,3,55764.26,91
I0278,O0381,P0377,5,71753.11,55
I0279,O0414,P0120,1,27848.34,14
I0280,O0046,P0175,2,7344.74,14
I0281,O0294,P0189,3,18041.57,73
I0282,O0378,P0001,5,44653.97,49
I0283,O0217,P0164,2,18429.12,77
I0284,O0303,P0114,1,39888.8,58
I0285,O0162,P0075,3,32389.24,63
I0286,O0349,P0234,3,24843.32,85
I0287,O0435,P0411,1,33380.21,39
I0288,O0258,P0353,5,22311.35,27
I0289,O0254,P0150,4,21407.65,42
I0290,O0079,P0424,2,66500.83,6
I0291,O0473,P0444,4,46180.35,38
I0292,O0418,P0338,2,31481.39,70
I0293,O0201,P0173,4,6982.22,96
I0294,O0201,P0201,3,58133.18,24
I0295,O0359,P0439,1,24755.63,96
I0296,O0406,P0298,1,19294.55,90
I0297,O0156,P0235,5,50638.68,89
I0298,O0248,P0150,2,22621.95,95
I0299,O0101,P0377,3,67113.59,73
I0300,O0053,P0348,2,10045.9,54
I0301,O0348,P0431,1,38189.04,60
I0302,O0092,P0484,5,29990.15,75
I0303,O0223,P0497,4,32358.43,15
I0304,O0124,P0204,5,59948.03,83
I0305,O0382,P0193,1,43281.91,83
I0306,O0196,P0141,4,52834.84,15
I0307,O0060,P0043,5,56498.07,75
I0308,O0294,P0294,1,55458.49,23
I0309,O0197,P0248,4,47812.6,16
I0310,O0051,P0167,5,43451.96,89
I0311,O0011,P0202,5,46500.04,67
I0312,O0251,P0033,5,35780.48,83
I0313,O0064,P0386,1,24496.95,76
I0314,O0356,P0093,-2,27050.28,15
I0315,O0021,P0066,2,21101.99,32
I0316,O0436,P0386,1,27217.62,46
I0317,O0495,P0279,1,9957.25,5
I0318,O0485,P0485,3,12854.69,56
I0319,O0072,P0296,3,14437.84,45
I0320,O0311,P0276,1,4378.95,5
I0321,O0122,P0019,3,7276.0,27
I0322,O0491,P0069,2,48234.38,35
I0323,O0066,P0374,1,32246.49,33
I0324,O0196,P0333,4,57751.17,32
I0325,O0347,P0218,2,2860.54,9
I0326,O0323,P0376,2,54058.71,72
I0327,O0337,P0332,5,13822.52,19
I0328,O0162,P0404,1,50404.64,31
I0329,O0040,P0139,1,62835.75,52
I0330,O0034,P0169,3,56645.69,99
I0331,O0140,P0075,2,27300.72,12
I0332,O0194,P0497,1,38168.18,15
I0333,O0090,P0270,3,36557.9,62
I0334,O0049,P0271,5,25143.71,70
I0335,O0139,P0312,1,8316.07,96
I0336,O0200,P0093,5,25154.43,51
I0337,O0245,P0304,1,58051.73,91
I0338,O0080,P0337,4,56857.09,34
I0339,O0028,P0471,3,9800.06,31
I0340,O0348,P0312,4,8351.25,45
I0341,O0409,P0240,3,6750.05,66
I0342,O0483,P0368,2,15895.2,11
I0343,O0486,P0157,3,50222.95,81
I0344,O0041,P0040,1,53159.07,7
I0345,O0044,P0381,4,20798.27,1
I0346,O0493,P0486,5,24419.33,17
I0347,O0246,P0255,5,52662.78,51
I0348,O0008,P0316,1,34232.54,89
I0349,O0274,P0384,5,11720.29,5
I0350,O0311,P0230,5,58174.8,22
I0351,O0039,P0188,5,49408.47,6
I0352,O0217,P0254,3,72487.45,43
I0353,O0468,P0348,5,11569.61,15
I0354,O0149,P0154,3,37419.98,94
I0355,O0324,P0292,3,6589.0,82
I0356,O0264,P0423,4,23545.08,62
I0357,O0030,P0183,-2,37189.2,45
I0358,O0055,P0003,2,57803.44,1
I0359,O0052,P0221,1,48408.5,19
I0360,O0211,P0064,1,9284.31,84
I0361,O0129,P0116,3,5104.91,54
I0362,O0457,P0094,3,19877.7,56
I0363,O0337,P0430,2,26291.24,55
I0364,O0003,P0184,2,55427.56,36
I0365,O0021,P0069,3,52697.49,20
I0366,O0342,P0102,3,43003.5,62
I0367,O0282,P0254,2,59921.25,97
I0368,O0400,P0452,4,8958.15,13
I0369,O0406,P0011,3,50975.15,98
I0370,O0351,P0122,3,44577.9,76
I0371,O0378,P0005,3,40678.87,10
I0372,O0390,P0220,2,60015.31,23
I0373,O0128,P0144,3,72050.99,31
I0374,O0342,P0421,4,437.52,13
I0375,O0359,P0374,2,28717.0,75
I0376,O0323,P0325,1,17060.91,4
I0377,O0141,P0099,4,11129.15,25
I0378,O0047,P0443,4,35631.29,89
I0379,O0325,P0119,4,58066.85,65
I0380,O0219,P0330,1,42093.0,35
I0381,O0483,P0180,2,44295.2,6
I0382,O0094,P0021,-3,63328.16,27
I0383,O0147,P0242,5,596.25,23
I0384,O0130,P0486,3,20254.32,12
I0385,O0343,P0007,2,8583.65,94
I0386,O0415,P0186,5,13207.28,47
I0387,O0122,P0333,5,56453.89,13
I0388,O0067,P0323,1,40777.86,83
I0389,O0419,P0098,4,56692.73,9
I0390,O0483,P0280,3,67053.79,97
I0391,O0104,P0274,1,51656.67,53
I0392,O0282,P0365,5,2775.1,46
I0393,O0230,P0323,4,41167.51,53
I0394,O0269,P0477,1,2470.0,35
I0395,O0357,P0496,1,37378.4,7
I0396,O0407,P0498,4,45316.63,68
I0397,O0446,P0263,2,909.36,65
I0398,O0197,P0288,4,63276.58,26
I0399,O0095,P0002,2,19088.72,1
I0400,O0451,P0476,4,11764.95,92
I0401,O0269,P0133,2,47096.37,34
I0402,O0283,P0061,1,17476.88,37
I0403,O0021,P0328,3,65140.37,34
I0404,O0448,P0405,2,52441.69,26
I0405,O0274,P0060,-2,42299.11,47
I0406,O0167,P0043,5,57240.7,17
I0407,O0210,P0460,3,3263.84,80
I0408,O0418,P0006,2,12662.14,35
I0409,O0091,P0132,5,67703.16,99
I0410,O0481,P0400,4,53731.75,32
I0411,O0446,P0321,5,25568.45,56
I0412,O0113,P0167,5,50039.0,96
I0413,O0203,P0080,4,18751.5,61
I0414,O0048,P0254,2,69483.86,22
I0415,O0097,P0292,2,6084.78,2
I0416,O0159,P0084,4,36104.99,24
I0417,O0036,P0074,2,25754.32,82
I0418,O0497,P0207,5,20400.5,96
I0419,O0414,P0007,4,8730.68,14
I0420,O0424,P0007,1,8029.19,98
I0421,O0043,P0138,5,26229.55,1
I0422,O0491,P0406,3,48776.72,10
I0423,O0104,P0072,5,43586.58,20
I0424,O0158,P0170,2,31085.26,88
I0425,O0137,P0322,1,14810.16,13
I0426,O0279,P0152,4,41692.92,28
I0427,O0013,P0117,2,7074.58,36
I0428,O0116,P0472,4,61333.97,91
I0429,O0422,P0462,2,13887.59,28
I0430,O0053,P0490,3,33924.46,42
I0431,O0061,P0185,1,23859.23,77
I0432,O0078,P0092,3,23454.35,86
I0433,O0218,P0077,3,13543.57,36
I0434,O0179,P0449,4,20323.09,33
I0435,O0416,P0465,1,25368.22,19
I0436,O0399,P0336,2,57220.64,92
I0437,O0408,P0403,1,25299.3,54
I0438,O0492,P0373,1,60642.16,16
I0439,O0094,P0393,3,50607.49,61
I0440,O0356,P0499,3,46501.04,83
I0441,O0472,P0126,5,34950.77,68
I0442,O0253,P0273,2,3872.84,74
I0443,O0367,P0216,2,20034.36,30
I0444,O0186,P0002,1,17776.69,60
I0445,O0491,P0069,1,52847.09,46
I0446,O0435,P0435,2,58262.63,18
I0447,O0428,P0437,4,36160.15,28
I0448,O0029,P0383,2,45517.96,3
I0449,O0357,P0495,1,41851.7,84
I0450,O0298,P0038,5,23841.85,3
I0451,O0076,P0188,2,45010.59,72
I0452,O0426,P0417,2,3070.79,17
I0453,O0384,P0271,3,22395.15,92
I0454,O0173,P0228,1,53469.29,19
I0455,O0031,P0452,5,10884.81,64
I0456,O0083,P0006,4,12478.15,58
I0457,O0284,P0365,5,2422.54,90
I0458,O0117,P0217,3,42709.32,66
I0459,O0194,P0487,2,10265.51,7
I0460,O0113,P0201,5,64320.01,9
I0461,O0419,P0355,3,18411.7,51
I0462,O0424,P0195,3,46207.74,24
I0463,O0139,P0056,3,20489.08,42
I0464,O0015,P0123,5,10375.9,27
I0465,O0306,P0006,3,10687.65,25
I0466,O0327,P0476,3,10250.75,72
I0467,O0290,P0023,4,2776.33,40
I0468,O0048,P0484,3,30886.14,50
I0469,O0257,P0100,4,6345.34,16
I0470,O0360,P0346,4,30480.4,64
I0471,O0052,P0258,2,9181.18,48
I0472,O0245,P0301,1,34321.68,19
I0473,O0350,P0238,1,5908.42,29
I0474,O0453,P0111,2,32828.12,20
I0475,O0494,P0257,5,44812.44,98
I0476,O0175,P0230,3,48415.46,79
I0477,O0439,P0482,4,22572.34,78
I0478,O0311,P0039,5,11370.41,63
I0479,O0050,P0413,-2,24043.76,100
I0480,O0459,P0045,4,17164.94,37
I0481,O0083,P0035,3,24902.78,9
I0482,O0092,P0364,3,49024.91,32
I0483,O0391,P0449,2,21979.66,72
I0484,O0250,P0021,3,57097.9,79
I0485,O0470,P0349,3,55566.08,79
I0486,O0488,P0161,4,31065.14,33
I0487,O0450,P0449,1,20078.15,82
I0488,O0030,P0380,5,5764.26,13
I0489,O0149,P0193,4,44215.57,28
I0490,O0199,P0448,1,50975.35,59
I0491,O0329,P0274,4,51320.78,23
I0492,O0375,P0056,4,21497.44,25
I0493,O0206,P0169,3,57995.45,62
I0494,O0109,P0360,1,40158.12,4
I0495,O0280,P0080,2,20384.41,40
I0496,O0291,P0017,4,49771.64,46
I0497,O0405,P0221,2,41395.91,2
I0498,O0488,P0389,3,7174.89,22
I0499,O0043,P0073,4,24469.7,91
I0500,O0232,P0447,2,54482.75,33
I0501,O0095,P0426,4,57860.4,96
I0502,O0153,P0085,4,45315.13,68
I0503,O0353,P0402,4,38009.87,88
I0504,O0293,P0200,5,52360.74,76
I0505,O0102,P0040,5,61390.64,41
I0506,O0341,P0422,3,9691.4,58
I0507,O0479,P0076,3,5640.63,86
I0508,O0209,P0135,1,44296.92,16
I0509,O0325,P0231,5,18463.95,27
I0510,O0382,P0097,5,16520.26,76
I0511,O0194,P0111,2,34721.21,73
I0512,O0490,P0008,3,48499.08,39
I0513,O0258,P0420,4,56951.58,58
I0514,O0212,P0211,5,41030.04,97
I0515,O0172,P0059,4,32010.65,22
I0516,O0284,P0305,4,57457.27,84
I0517,O0353,P0349,3,58795.54,12
I0518,O0045,P0413,1,24791.14,78
I0519,O0478,P0211,5,47507.56,12
I0520,O0325,P0228,1,60176.63,53
I0521,O0109,P0115,5,50247.01,25
I0522,O0439,P0241,3,10324.19,59
I0523,O0212,P0465,4,19767.84,47
I0524,O0401,P0115,3,58247.28,33
I0525,O0158,P0430,4,28998.21,0
I0526,O0461,P0466,1,17720.81,47
I0527,O0431,P0419,5,47966.51,21
I0528,O0492,P0293,2,52733.4,50
I0529,O0099,P0316,1,35093.96,73
I0530,O0220,P0066,4,27716.56,22
I0531,O0207,P0463,2,36218.95,12
I0532,O0364,P0411,1,33704.76,100
I0533,O0201,P0432,3,10628.25,20
I0534,O0486,P0166,1,31506.99,1
I0535,O0322,P0395,1,58900.8,69
I0536,O0472,P0498,4,38756.79,93
I0537,O0067,P0233,3,1071.77,83
I0538,O0460,P0114,5,43554.21,92
I0539,O0400,P0414,3,42310.14,35
I0540,O0043,P0479,1,30884.07,74
I0541,O0444,P0053,5,23591.32,18
I0542,O0145,P0135,1,33503.55,46
I0543,O0468,P0430,1,27454.28,2
I0544,O0212,P0038,1,19494.38,53
I0545,O0193,P0456,4,5298.27,23
I0546,O0153,P0006,5,12301.02,4
I0547,O0061,P0500,3,15137.8,78
I0548,O0308,P0280,-3,67369.18,15
I0549,O0099,P0311,-1,60209.29,97
I0550,O0079,P0111,1,34038.57,3
I0551,O0168,P0071,2,58345.31,61
I0552,O0103,P0489,5,10108.57,59
I0553,O0382,P0415,5,56169.77,24
I0554,O0129,P0089,3,25511.13,13
I0555,O0299,P0407,3,29538.85,26
I0556,O0489,P0370,4,18754.44,95
I0557,O0140,P0418,1,41068.45,54
I0558,O0103,P0291,1,15823.81,4
I0559,O0491,P0262,4,47099.71,82
I0560,O0487,P0495,4,33709.55,23
I0561,O0415,P0166,2,35276.79,9
I0562,O0111,P0337,2,60489.6,15
I0563,O0005,P0164,3,16704.54,72
I0564,O0408,P0165,5,33111.15,36
I0565,O0309,P0109,1,15697.27,91
I0566,O0312,P0485,1,12533.4,82
I0567,O0216,P0350,3,17887.61,25
I0568,O0101,P0026,4,4891.19,35
I0569,O0216,P0062,2,33450.09,75
I0570,O0197,P0122,3,38804.19,100
I0571,O0439,P0295,4,34380.57,51
I0572,O0019,P0459,5,49490.38,82
I0573,O0009,P0036,4,34630.31,35
I0574,O0163,P0386,1,27638.09,40
I0575,O0253,P0314,3,17304.1,58
I0576,O0253,P0435,1,68756.28,79
I0577,O0053,P0015,1,50516.39,41
I0578,O0442,P0353,2,20182.06,24
I0579,O0371,P0462,5,13883.12,88
I0580,O0445,P0027,1,56549.78,38
I0581,O0039,P0136,5,3455.95,48
I0582,O0139,P0358,2,56794.24,15
I0583,O0065,P0164,5,20503.52,52
I0584,O0327,P0229,5,32059.3,73
I0585,O0245,P0339,3,46623.05,93
I0586,O0248,P0116,3,5794.81,45
I0587,O0286,P0428,2,47879.74,9
I0588,O0498,P0254,1,66656.28,59
I0589,O0420,P0198,1,27152.05,75
I0590,O0390,P0271,3,24414.1,39
I0591,O0363,P0233,5,1042.25,16
I0592,O0113,P0470,4,35310.11,65
I0593,O0104,P0400,1,44022.24,21
I0594,O0352,P0158,5,16481.26,18
I0595,O0237,P0449,1,17814.25,58
I0596,O0096,P0137,-3,27394.87,45
I0597,O0136,P0061,1,16523.41,27
I0598,O0078,P0204,5,49901.84,56
I0599,O0140,P0190,4,33446.45,54
I0600,O0100,P0151,2,54972.74,67
I0601,O0312,P0253,1,27687.6,82
I0602,O0128,P0491,1,55658.55,4
I0603,O0295,P0137,5,23805.66,28
I0604,O0452,P0318,4,2221.08,12
I0605,O0113,P0376,3,50637.2,21
I0606,O0403,P0105,3,7908.47,36
I0607,O0376,P0002,5,20891.69,79
I0608,O0245,P0379,2,36645.04,87
I0609,O0036,P0086,4,23952.14,1
I0610,O0342,P0243,1,8962.38,33
I0611,O0452,P0040,1,60980.21,60
I0612,O0299,P0001,2,43797.28,5
I0613,O0420,P0009,3,59637.6,67
I0614,O0258,P0086,1,23605.59,94
I0615,O0172,P0232,3,63779.76,32
I0616,O0340,P0250,4,47593.63,45
I0617,O0155,P0364,5,46248.12,76
I0618,O0248,P0058,5,38381.4,2
I0619,O0076,P0211,2,40143.06,3
I0620,O0126,P0296,4,13717.65,95
I0621,O0046,P0100,4,6186.59,35
I0622,O0450,P0321,4,32324.97,67
I0623,O0090,P0136,3,3549.98,50
I0624,O0302,P0214,3,25105.79,5
I0625,O0297,P0267,5,4067.46,58
I0626,O0291,P0496,3,30646.76,1
I0627,O0256,P0475,4,27309.57,66
I0628,O0495,P0149,2,57096.38,36
I0629,O0034,P0410,4,32033.93,36
I0630,O0423,P0304,4,51618.67,55
I0631,O0181,P0339,1,45553.39,44
I0632,O0450,P0146,5,24627.3,98
I0633,O0288,P0080,3,17392.65,93
I0634,O0101,P0222,1,8572.41,4
I0635,O0243,P0478,4,2837.72,12
I0636,O0458,P0134,5,31966.85,72
I0637,O0224,P0348,5,9283.18,98
I0638,O0103,P0129,5,55305.66,39
I0639,O0044,P0153,4,55329.77,48
I0640,O0401,P0449,1,17206.94,56
I0641,O0356,P0161,3,30706.75,54
I0642,O0239,P0216,4,16115.67,71
I0643,O0014,P0491,1,69611.6,78
I0644,O0465,P0155,5,24430.94,16
I0645,O0318,P0279,3,9310.33,50
I0646,O0065,P0207,4,25135.81,66
I0647,O0236,P0430,1,25583.39,83
I0648,O0055,P0171,3,5803.54,88
I0649,O0170,P0443,5,37257.2,94
I0650,O0368,P0028,5,56787.74,94
I0651,O0496,P0254,2,59453.64,39
I0652,O0369,P0480,-2,35243.33,25
I0653,O0059,P0035,-3,29127.89,66
I0654,O0050,P0127,4,54301.9,64
I0655,O0228,P0201,1,58469.82,61
I0656,O0095,P0420,5,50439.59,78
I0657,O0349,P0225,5,49839.24,18
I0658,O0326,P0012,2,45844.57,94
I0659,O0359,P0280,4,58654.79,85
I0660,O0052,P0492,3,54343.26,50
I0661,O0198,P0358,4,53956.51,54
I0662,O0076,P0015,1,57956.82,1
I0663,O0298,P0156,5,26355.46,45
