customer_id,city,subscription_type,age,signup_date,operation,update_ts
65,Mumbai,Basic,37,2024-02-04,INSERT,2026-04-03 13:12:00
26,Bangalore,Basic,21,2024-01-15,INSERT,2026-04-02 20:44:00
95,Hyderabad,Premium,22,2024-01-18,INSERT,2026-04-02 05:54:00
78,Delhi,Premium,41,2024-01-18,UPDATE,2026-04-02 00:12:00
12,Bangalore,Basic,45,2024-03-06,UPDATE,2026-04-07 09:19:00
82,Mumbai,Basic,35,2024-02-13,INSERT,2026-04-03 01:10:00
87,Hyderabad,Basic,41,2024-04-30,INSERT,2026-04-05 22:55:00
32,Hyderabad,Basic,31,2024-05-27,INSERT,2026-04-05 02:01:00
72,Hyderabad,Basic,20,2024-12-20,INSERT,2026-04-06 02:59:00
95,Delhi,Basic,32,2024-10-26,UPDATE,2026-04-07 09:25:00
72,Mumbai,Premium,50,2024-07-25,INSERT,2026-04-02 13:52:00
15,Mumbai,Basic,25,2024-03-19,DELETE,2026-04-05 12:48:00
82,Chennai,Basic,24,2024-12-19,DELETE,2026-04-01 17:01:00
78,Bangalore,Basic,23,2024-06-05,INSERT,2026-04-01 19:25:00
30,Bangalore,Premium,31,2024-03-10,UPDATE,2026-04-06 10:30:00
14,Mumbai,Basic,22,2024-04-19,INSERT,2026-04-03 09:36:00
32,Chennai,Basic,50,2024-11-02,UPDATE,2026-04-07 20:12:00
12,Mumbai,Premium,27,2024-01-09,INSERT,2026-04-02 17:07:00
4,Delhi,Basic,27,2024-05-13,UPDATE,2026-04-04 17:49:00
55,Mumbai,Premium,31,2024-11-19,INSERT,2026-04-07 13:11:00
55,Delhi,Basic,44,2024-02-21,INSERT,2026-04-07 10:42:00
18,Hyderabad,Basic,38,2024-08-22,INSERT,2026-04-06 15:59:00
14,Chennai,Premium,24,2024-06-25,UPDATE,2026-04-03 18:38:00
65,Delhi,Basic,25,2024-04-29,UPDATE,2026-04-04 23:36:00
28,Hyderabad,Basic,42,2024-02-19,INSERT,2026-04-02 23:17:00
36,Hyderabad,Premium,21,2024-10-31,INSERT,2026-04-02 05:59:00
78,Delhi,Basic,33,2024-02-27,INSERT,2026-04-06 22:19:00
5,Mumbai,Premium,37,2024-10-11,INSERT,2026-04-05 06:04:00
72,Bangalore,Basic,21,2024-11-05,INSERT,2026-04-04 05:02:00
26,Bangalore,Premium,42,2024-09-11,UPDATE,2026-04-06 18:13:00
30,Chennai,Basic,28,2024-02-17,DELETE,2026-04-07 08:33:00
32,Chennai,Basic,37,2024-09-05,INSERT,2026-04-02 19:22:00
82,Chennai,Premium,27,2024-11-16,INSERT,2026-04-06 04:28:00
14,Chennai,Premium,31,2024-08-27,UPDATE,2026-04-04 08:02:00
78,Chennai,Premium,50,2024-08-22,INSERT,2026-04-05 20:10:00
5,Chennai,Basic,45,2024-07-23,UPDATE,2026-04-01 19:33:00
70,Mumbai,Basic,22,2024-08-30,INSERT,2026-04-05 04:15:00
28,Delhi,Premium,32,2024-03-13,UPDATE,2026-04-03 18:27:00
82,Hyderabad,Premium,44,2024-07-10,INSERT,2026-04-01 07:04:00
36,Bangalore,Basic,29,2024-01-27,INSERT,2026-04-05 02:21:00
78,Hyderabad,Premium,36,2024-06-03,UPDATE,2026-04-04 06:28:00
18,Hyderabad,Premium,35,2024-04-20,INSERT,2026-04-06 01:35:00
12,Hyderabad,Premium,39,2024-01-14,INSERT,2026-04-02 01:47:00
18,Mumbai,Premium,45,2024-05-26,INSERT,2026-04-04 07:14:00
72,Bangalore,Basic,32,2024-09-01,INSERT,2026-04-04 00:06:00
18,Mumbai,Premium,30,2024-04-06,INSERT,2026-04-06 22:43:00
82,Hyderabad,Basic,48,2024-04-19,UPDATE,2026-04-01 04:28:00
65,Delhi,Premium,30,2024-08-30,DELETE,2026-04-06 11:17:00
76,Hyderabad,Basic,38,2024-05-03,INSERT,2026-04-04 23:36:00
82,Delhi,Basic,33,2024-10-05,INSERT,2026-04-05 04:40:00
18,Hyderabad,Premium,39,2024-06-04,UPDATE,2026-04-06 01:19:00
18,Mumbai,Basic,40,2024-05-23,UPDATE,2026-04-01 10:10:00
87,Chennai,Premium,24,2024-03-10,INSERT,2026-04-07 19:42:00
32,Hyderabad,Basic,46,2024-02-22,INSERT,2026-04-04 13:21:00
95,Mumbai,Premium,32,2024-01-04,INSERT,2026-04-01 08:50:00
30,Bangalore,Premium,28,2024-08-02,UPDATE,2026-04-02 06:17:00
26,Mumbai,Premium,30,2024-10-30,UPDATE,2026-04-03 02:32:00
87,Hyderabad,Premium,48,2024-03-28,INSERT,2026-04-03 06:30:00
5,Delhi,Premium,26,2024-07-12,UPDATE,2026-04-06 05:05:00
95,Bangalore,Premium,27,2024-08-29,UPDATE,2026-04-04 21:25:00
95,Mumbai,Premium,32,2024-03-18,UPDATE,2026-04-03 17:32:00
18,Bangalore,Premium,45,2024-04-22,UPDATE,2026-04-04 14:17:00
65,Mumbai,Premium,44,2024-12-26,UPDATE,2026-04-04 07:53:00
26,Bangalore,Premium,32,2024-09-05,UPDATE,2026-04-06 02:39:00
36,Hyderabad,Basic,30,2024-09-06,INSERT,2026-04-06 22:24:00
28,Mumbai,Premium,40,2024-07-08,DELETE,2026-04-07 10:01:00
4,Hyderabad,Basic,26,2024-01-13,INSERT,2026-04-01 22:02:00
36,Delhi,Premium,38,2024-03-30,INSERT,2026-04-01 18:54:00
18,Bangalore,Basic,43,2024-10-11,INSERT,2026-04-06 01:30:00
82,Delhi,Basic,31,2024-01-21,INSERT,2026-04-03 01:20:00
87,Chennai,Premium,39,2024-06-19,DELETE,2026-04-04 07:13:00
76,Chennai,Basic,47,2024-07-31,INSERT,2026-04-05 17:26:00
4,Mumbai,Basic,21,2024-03-16,UPDATE,2026-04-06 07:43:00
29,Delhi,Premium,50,2024-06-03,INSERT,2026-04-01 17:08:00
26,Mumbai,Basic,34,2024-08-31,UPDATE,2026-04-04 14:21:00
5,Delhi,Basic,24,2024-02-16,INSERT,2026-04-07 12:11:00
4,Delhi,Basic,46,2024-01-26,INSERT,2026-04-03 03:59:00
36,Mumbai,Basic,31,2024-02-10,INSERT,2026-04-07 03:23:00
36,Hyderabad,Basic,33,2024-10-03,UPDATE,2026-04-03 06:42:00
36,Bangalore,Basic,27,2024-12-05,UPDATE,2026-04-04 08:33:00
78,Delhi,Premium,44,2024-02-12,INSERT,2026-04-03 09:00:00
82,Delhi,Basic,32,2024-09-25,UPDATE,2026-04-06 06:34:00
87,Hyderabad,Basic,30,2024-08-10,INSERT,2026-04-03 07:18:00
70,Bangalore,Basic,28,2024-03-04,DELETE,2026-04-04 07:35:00
70,Chennai,Premium,48,2024-09-05,UPDATE,2026-04-02 09:40:00
30,Chennai,Premium,29,2024-02-12,INSERT,2026-04-06 11:44:00
14,Hyderabad,Basic,50,2024-10-10,INSERT,2026-04-03 21:15:00
14,Chennai,Basic,43,2024-10-31,UPDATE,2026-04-06 06:22:00
55,Chennai,Premium,43,2024-10-17,UPDATE,2026-04-04 08:13:00
12,Chennai,Basic,24,2024-02-08,DELETE,2026-04-04 15:44:00
78,Hyderabad,Premium,27,2024-04-24,DELETE,2026-04-01 00:24:00
14,Hyderabad,Premium,41,2024-11-20,INSERT,2026-04-06 12:54:00
72,Hyderabad,Basic,49,2024-11-29,UPDATE,2026-04-01 02:56:00
5,Delhi,Premium,46,2024-04-29,INSERT,2026-04-04 12:00:00
14,Mumbai,Premium,34,2024-10-06,INSERT,2026-04-05 02:55:00
87,Delhi,Premium,25,2024-03-16,INSERT,2026-04-07 03:23:00
78,Mumbai,Premium,31,2024-12-14,UPDATE,2026-04-05 20:12:00
4,Hyderabad,Premium,37,2024-10-31,INSERT,2026-04-07 22:32:00
36,Delhi,Basic,25,2024-02-19,INSERT,2026-04-02 02:17:00
28,Delhi,Basic,43,2024-08-20,INSERT,2026-04-06 12:17:00
12,Hyderabad,Basic,45,2024-11-30,DELETE,2026-04-03 09:06:00
18,Chennai,Premium,38,2024-12-29,UPDATE,2026-04-02 11:58:00
70,Hyderabad,Basic,20,2024-07-10,UPDATE,2026-04-01 11:38:00
55,Mumbai,Basic,44,2024-05-20,UPDATE,2026-04-03 09:33:00
4,Bangalore,Premium,39,2024-07-03,UPDATE,2026-04-06 15:29:00
28,Bangalore,Premium,46,2024-04-18,UPDATE,2026-04-01 03:58:00
28,Chennai,Basic,48,2024-02-14,INSERT,2026-04-06 10:24:00
76,Delhi,Premium,28,2024-11-27,INSERT,2026-04-02 03:02:00
87,Mumbai,Basic,46,2024-05-10,UPDATE,2026-04-04 20:45:00
70,Delhi,Premium,50,2024-07-20,UPDATE,2026-04-05 08:37:00
78,Hyderabad,Basic,24,2024-08-29,INSERT,2026-04-02 10:36:00
95,Mumbai,Premium,33,2024-04-02,UPDATE,2026-04-05 00:43:00
95,Bangalore,Basic,33,2024-12-21,INSERT,2026-04-01 22:49:00
72,Delhi,Basic,36,2024-01-07,UPDATE,2026-04-05 03:15:00
15,Bangalore,Basic,31,2024-08-25,DELETE,2026-04-05 07:21:00
32,Delhi,Basic,35,2024-07-03,UPDATE,2026-04-05 14:11:00
78,Delhi,Basic,41,2024-07-04,DELETE,2026-04-05 06:07:00
18,Hyderabad,Basic,22,2024-05-30,INSERT,2026-04-04 23:14:00
78,Hyderabad,Premium,43,2024-12-03,UPDATE,2026-04-02 11:31:00
18,Hyderabad,Basic,24,2024-04-22,INSERT,2026-04-04 02:39:00
87,Bangalore,Premium,33,2024-10-27,INSERT,2026-04-07 20:37:00
87,Bangalore,Basic,45,2024-11-10,UPDATE,2026-04-07 19:56:00
14,Delhi,Basic,36,2024-05-26,INSERT,2026-04-05 07:25:00
29,Mumbai,Premium,48,2024-04-29,INSERT,2026-04-05 20:36:00
78,Mumbai,Premium,46,2024-03-16,UPDATE,2026-04-07 15:21:00
70,Delhi,Basic,46,2024-01-08,UPDATE,2026-04-06 15:36:00
12,Hyderabad,Basic,23,2024-01-27,INSERT,2026-04-07 21:23:00
14,Chennai,Premium,32,2024-02-21,INSERT,2026-04-04 04:38:00
15,Bangalore,Premium,39,2024-02-19,UPDATE,2026-04-03 08:26:00
15,Mumbai,Basic,47,2024-06-30,INSERT,2026-04-06 07:52:00
55,Hyderabad,Premium,25,2024-04-02,INSERT,2026-04-06 09:44:00
15,Delhi,Basic,31,2024-10-27,INSERT,2026-04-03 07:28:00
18,Delhi,Premium,49,2024-07-10,UPDATE,2026-04-03 12:54:00
4,Bangalore,Basic,28,2024-08-22,INSERT,2026-04-06 03:11:00
18,Delhi,Basic,47,2024-02-09,INSERT,2026-04-07 22:30:00
26,Hyderabad,Premium,30,2024-02-24,DELETE,2026-04-02 12:06:00
26,Hyderabad,Basic,38,2024-08-30,DELETE,2026-04-01 12:30:00
4,Mumbai,Basic,46,2024-09-16,UPDATE,2026-04-01 01:59:00
4,Mumbai,Basic,26,2024-12-06,INSERT,2026-04-06 14:01:00
95,Bangalore,Premium,21,2024-06-04,UPDATE,2026-04-04 12:57:00
82,Mumbai,Premium,35,2024-11-16,INSERT,2026-04-02 16:11:00
14,Chennai,Basic,24,2024-02-27,UPDATE,2026-04-07 19:56:00
82,Mumbai,Premium,34,2024-04-15,UPDATE,2026-04-01 13:58:00
12,Bangalore,Premium,25,2024-08-02,INSERT,2026-04-06 07:53:00
76,Mumbai,Basic,43,2024-05-09,INSERT,2026-04-06 05:55:00
72,Chennai,Premium,25,2024-05-29,INSERT,2026-04-07 16:20:00
82,Hyderabad,Premium,32,2024-01-04,UPDATE,2026-04-07 06:02:00
18,Mumbai,Premium,42,2024-01-12,UPDATE,2026-04-04 14:27:00
15,Delhi,Basic,35,2024-10-23,INSERT,2026-04-07 02:00:00
70,Chennai,Basic,45,2024-03-25,UPDATE,2026-04-03 18:27:00
36,Hyderabad,Premium,30,2024-02-15,UPDATE,2026-04-05 00:37:00
26,Hyderabad,Basic,46,2024-04-14,UPDATE,2026-04-02 16:54:00
5,Delhi,Basic,34,2024-09-15,DELETE,2026-04-02 10:22:00
5,Delhi,Premium,34,2024-06-15,UPDATE,2026-04-07 09:14:00
26,Bangalore,Basic,40,2024-02-10,INSERT,2026-04-06 11:08:00
5,Delhi,Premium,20,2024-06-29,UPDATE,2026-04-01 14:11:00
78,Bangalore,Premium,31,2024-07-19,UPDATE,2026-04-07 06:09:00
87,Chennai,Basic,49,2024-09-21,UPDATE,2026-04-05 15:07:00
15,Hyderabad,Basic,49,2024-07-06,UPDATE,2026-04-03 01:40:00
78,Delhi,Premium,40,2024-03-23,UPDATE,2026-04-02 22:26:00
82,Mumbai,Premium,31,2024-05-18,INSERT,2026-04-05 22:27:00
65,Hyderabad,Basic,46,2024-06-14,UPDATE,2026-04-07 10:52:00
29,Hyderabad,Basic,34,2024-08-07,UPDATE,2026-04-06 23:03:00
36,Chennai,Premium,44,2024-07-12,UPDATE,2026-04-05 09:35:00
65,Mumbai,Premium,24,2024-02-06,UPDATE,2026-04-06 13:50:00
5,Chennai,Premium,29,2024-07-26,DELETE,2026-04-04 14:30:00
14,Bangalore,Basic,36,2024-12-31,INSERT,2026-04-05 05:59:00
32,Mumbai,Basic,46,2024-05-21,UPDATE,2026-04-02 08:25:00
15,Mumbai,Premium,25,2024-10-25,UPDATE,2026-04-06 00:42:00
4,Hyderabad,Premium,30,2024-10-09,INSERT,2026-04-06 02:02:00
28,Bangalore,Premium,36,2024-10-13,INSERT,2026-04-04 21:44:00
